scenario_key,city,season,pollutant,endpoint,framework,output_scale,source_device,exposure_metric,counterfactual,counterfactual_basis,crf_mapping,source_pollutant,rr_per10,rr_ci_low,rr_ci_high,reference_note,n_samples,baseline_rate,baseline_rate_scale,population,pm_mean_of_samples,exposure_contrast_mean,share_samples_above_counterfactual,cases_mean,cases_median,cases_p025,cases_p975,pm25_pm10_ratio_mean_if_applicable,pm25_pm10_ratio_sd_if_applicable,notes
Thessaloniki_Winter_PM10_Cardiac hospital admissions,Thessaloniki,Winter,PM10,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.006,1.003,1.009,Hurley et al.,10000,5.1257534246575345e-05,daily_rate_per_person,1092919,37.144522430842066,5.979747191787276,0.312,0.19680632747906374,0.0,0.0,1.6585890826701293,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM10_Cardiovascular,Thessaloniki,Winter,PM10,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.08,1.042,1.12,Orellano et al.,10000,0.002726,annual_rate_per_person,1092919,36.9911532922354,21.991153292235406,1.0,459.61392477997003,452.34780545239903,226.41274581419566,739.0703449229102,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM10_Chronic bronchitis,Thessaloniki,Winter,PM10,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.117,1.04,1.189,WHO/HRAPIE,10000,0.0007,annual_rate_per_person,1092919,37.019443851543194,22.01944385154319,1.0,163.14884812484922,160.45231071440708,65.46683662789762,277.7366825785336,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM10_Mortality all causes,Thessaloniki,Winter,PM10,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.081,1.052,1.11,Orellano et al.,10000,0.00828,annual_rate_per_person,1092919,36.93371267952473,21.93371267952473,1.0,1414.8249207320453,1391.6511125200536,801.4755981458464,2159.5515270683713,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM10_Respiratory hospital admissions,Thessaloniki,Winter,PM10,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,45.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM10,1.009,1.007,1.01,Hurley et al.,10000,2.7887671232876714e-05,daily_rate_per_person,1092919,36.78742548384321,5.80795708044381,0.3125,0.15671913024280917,0.0,0.0,1.261047275149308,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM2.5_Cardiac hospital admissions,Thessaloniki,Winter,PM2.5,Cardiac hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.006,1.003,1.009,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,5.1257534246575345e-05,daily_rate_per_person,1092919,33.45269446701149,19.245325342953727,0.8266,0.99617133514892,0.6649343078128294,0.0,3.775791264517306,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM2.5_Cardiovascular,Thessaloniki,Winter,PM2.5,Cardiovascular,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.127,1.102,1.152,Orellano et al.,10000,0.002726,annual_rate_per_person,1092919,33.615927279256205,28.6159272792562,1.0,859.3757437169768,853.9868029831746,629.1726401930453,1122.8733754848513,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM2.5_Chronic bronchitis,Thessaloniki,Winter,PM2.5,Chronic bronchitis,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.117,1.04,1.189,WHO/HRAPIE PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,0.0007,annual_rate_per_person,1092919,33.70054088237203,28.700540882372028,1.0,293.55963268320437,292.4312443310006,126.33923117584695,462.9994055442465,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM2.5_Mortality all causes,Thessaloniki,Winter,PM2.5,Mortality all causes,long_term,annual_persistent_exposure_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,5.0,WHO_2021_AQG_annual_or_24h_by_framework,direct,PM2.5,1.062,1.04,1.083,WHO/HRAPIE; Orellano et al.,10000,0.00828,annual_rate_per_person,1092919,33.594868477900015,28.594868477900025,1.0,1427.3698736648275,1411.5853920952022,895.8109636621073,2057.6546538377843,,,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
Thessaloniki_Winter_PM2.5_Respiratory hospital admissions,Thessaloniki,Winter,PM2.5,Respiratory hospital admissions,short_term,daily_short_term_scenario,ICARUS PPM personal portable particulate monitor,Daily personal PM from common-support ICARUS PPM PM1/PM2.5/PM10 timestamp triplets,15.0,WHO_2021_AQG_annual_or_24h_by_framework,converted_from_pm10,PM10,1.009,1.007,1.01,Hurley et al. PM10 CRF converted to PM2.5-equivalent sensitivity row,10000,2.7887671232876714e-05,daily_rate_per_person,1092919,33.33446295113505,19.13839527720275,0.8263,0.8028797229192561,0.5704179481633984,0.0,2.9524872915849065,0.65,0.1,Ambient-CRF-based scenario output using daily personal ICARUS PPM PM exposure distributions; PM2.5 and PM10 are not summed.
