outcome,pollutant,lag_min,model_type,beta_per_1ug,se_per_1ug,ci_low_per_1ug,ci_high_per_1ug,p_value,beta_per_10ug,ci_low_per_10ug,ci_high_per_10ug,n_rows,n_participants,random_effect_structure,fixed_effects,aic,bic,log_likelihood,converged,warnings,status,notes
Garmin-derived stress index,PM2.5,1,unadjusted,0.019923039454728623,0.011225746759179417,-0.002079424193263034,0.04192550310272028,0.07593703599355424,0.19923039454728622,-0.02079424193263034,0.4192550310272028,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,5,unadjusted,0.020940579607354445,0.011130277628177239,-0.0008747645438729433,0.04275592375858184,0.0599166075500281,0.20940579607354445,-0.008747645438729433,0.4275592375858184,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,10,unadjusted,0.01711353283268569,0.011074571427061447,-0.004592627164354747,0.038819692829726124,0.12227376773313738,0.17113532832685688,-0.04592627164354747,0.38819692829726127,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,15,unadjusted,0.01848864466439603,0.011131234636089527,-0.0033285752223394423,0.0403058645511315,0.09671951044729674,0.1848864466439603,-0.03328575222339442,0.403058645511315,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,30,unadjusted,0.018177193544233475,0.011163158983752159,-0.0037025980639207555,0.0400569851523877,0.10345707917559852,0.18177193544233475,-0.037025980639207555,0.40056985152387703,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,45,unadjusted,0.028740400412434634,0.01110256874273025,0.006979365676683343,0.050501435148185926,0.009635962918955038,0.28740400412434636,0.06979365676683343,0.5050143514818592,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,60,unadjusted,0.02696173304621439,0.011193495314953974,0.005022482228904602,0.04890098386352418,0.016009605084063853,0.2696173304621439,0.05022482228904602,0.4890098386352418,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM2.5,120,unadjusted,0.012812527445196772,0.011200403379965035,-0.009140263179534695,0.03476531806992824,0.25265081659780086,0.12812527445196772,-0.09140263179534695,0.3476531806992824,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,1,unadjusted,0.013351049912283763,0.010741376829134267,-0.0077020486728194,0.034404148497386926,0.21388435205896805,0.13351049912283763,-0.077020486728194,0.34404148497386927,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,5,unadjusted,0.009577016891041736,0.010660185677728098,-0.011316947037305335,0.03047098081938881,0.36897703195479603,0.09577016891041736,-0.11316947037305335,0.3047098081938881,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,10,unadjusted,0.014221113950363854,0.010572612505408783,-0.006501206560237359,0.03494343446096507,0.1785962150629048,0.14221113950363853,-0.06501206560237359,0.34943434460965067,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,15,unadjusted,0.008986793896492708,0.010626018546463434,-0.011840202454575623,0.02981379024756104,0.397700693144182,0.08986793896492708,-0.11840202454575623,0.2981379024756104,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,30,unadjusted,0.0067693708571388705,0.010749829226461564,-0.014300294426725795,0.027839036141003536,0.5288785011932181,0.0676937085713887,-0.14300294426725796,0.27839036141003537,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,45,unadjusted,0.016296864930396154,0.010583802134805753,-0.004447387253823123,0.03704111711461543,0.12361080748182365,0.16296864930396154,-0.04447387253823123,0.3704111711461543,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,60,unadjusted,0.017110527590927075,0.010653857726518622,-0.0037710335530494257,0.037992088734903576,0.1082649992656045,0.17110527590927074,-0.03771033553049426,0.37992088734903573,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
Garmin-derived stress index,PM10,120,unadjusted,0.00797913094419231,0.010748478005488449,-0.013087885946565047,0.029046147834949666,0.4578754011156808,0.0797913094419231,-0.13087885946565048,0.29046147834949665,10000,120,participant-specific random intercept,lagged PM only,-inf,-inf,inf,True,Random effects covariance is singular | The random effects covariance matrix is singular. | The MLE may be on the boundary of the parameter space. | The random effects covariance matrix is singular. | The Hessian matrix at the estimated parameter values is not positive definite.,PASS,Unstandardized PM predictor; coefficient is beta per 1 ug/m3 and per-10 scale is 10x.
